Ind;attribute;category;complete;paired-associate;press-key;recall;what-comes-before
0;242;4375;992;100;2083;25;220
1;90;270;1476;113;37;20;1003
2;1267;-1;468;460;80;30;130
3;474;3527;1368;446;1032;22;144
4;941;-1;553;344;1884;13;190
5;-1;-1;919;153;40;474;145
6;416;7084;241;221;49;24;74
7;647;648;322;242;74;-1;77
8;318;6902;290;355;1107;-1;146
9;498;5787;2031;272;43;17;161
10;86;467;307;1215;11;35;202
11;331;583;671;501;140;22;100
12;1496;689;364;105;38;29;118
13;38;610;660;126;34;30;94
14;681;-1;352;248;-1;15;108
15;1859;4281;639;106;47;147;177
16;1347;4336;678;308;529;151;59
17;1150;2279;1473;965;2245;11;74
18;1125;6065;160;685;593;13;94
19;-1;-1;200;305;29;50;127
20;394;569;1097;401;34;21;128
21;87;7092;515;167;23;10;117
22;165;-1;951;126;32;24;83
23;-1;6325;137;148;83;17;180
24;-1;-1;1634;257;190;16;150
25;253;5003;2369;140;471;22;106
26;341;1109;485;737;89;26;157
27;811;6480;441;214;85;28;92
28;30;6661;1097;811;31;34;129
29;261;7290;692;193;147;18;110
30;46;2905;659;87;547;11;106
31;448;-1;854;484;66;32;78
32;934;-1;469;318;786;31;115
33;359;6141;520;681;340;9;93
34;62;6369;701;107;75;29;199
35;1017;-1;743;552;-1;324;58
36;119;7476;350;159;41;49;207
37;786;6578;685;165;173;385;49
38;506;-1;436;635;390;26;80
39;-1;3763;533;683;90;24;117
40;563;4759;857;581;170;17;178
41;193;-1;219;648;606;9;127
42;1213;-1;351;305;47;22;98
43;45;7829;460;103;132;15;136
44;45;6716;1286;92;67;32;127
45;-1;-1;993;119;68;104;155
46;594;6565;335;161;31;23;97
47;132;7202;692;277;30;20;81
48;1034;6066;370;402;859;15;135
49;39;-1;1371;149;5790;188;274
50;363;3963;1153;629;53;26;97
51;-1;5933;490;275;61;237;141
52;-1;5702;632;440;29;18;101
53;83;4514;1276;75;1731;18;172
54;-1;2192;245;258;33;13;250
55;412;7112;1276;158;72;-1;17
56;81;6378;1666;182;204;12;129
57;-1;-1;419;384;81;208;193
58;1657;-1;1244;207;25;16;88
59;348;-1;445;156;413;218;95
60;25;261;982;399;127;99;78
61;35;2943;621;542;4680;-1;94
62;-1;6459;235;125;38;-1;89
63;529;-1;1698;920;75;26;72
64;754;6158;463;111;26;14;109
65;-1;6733;276;66;60;29;199
66;575;5234;1488;122;362;18;147
67;-1;4337;1626;591;35;11;142
68;990;4060;958;106;2253;34;139
69;553;1358;963;649;4022;190;135
70;30;4846;1676;196;78;-1;129
71;704;405;1233;228;204;24;103
72;51;-1;528;139;496;12;110
73;-1;5497;992;333;67;34;98
74;-1;4986;941;286;262;44;460
75;67;341;344;162;62;27;476
76;1384;3783;951;938;1035;26;71
77;276;1423;537;412;1052;10;132
78;711;-1;-1;116;1654;29;122
79;-1;-1;539;541;-1;12;102
80;-1;223;544;317;-1;21;97
81;612;4973;761;758;1602;38;119
82;2487;4943;565;93;171;15;149
83;-1;5724;244;738;31;14;105
84;27;-1;306;423;40;-1;128
85;254;2582;560;321;1472;852;65
86;1247;-1;368;117;52;36;477
87;31;1842;823;269;187;13;184
88;29;-1;604;597;19;18;63
89;-1;-1;768;252;37;26;136
90;31;5790;895;393;421;11;691
91;235;6127;461;342;42;11;190
92;-1;6690;246;307;45;23;73
93;1055;3595;647;1733;84;-1;145
94;1076;-1;430;161;136;29;120
95;538;5560;785;882;308;21;48
96;30;-1;728;324;166;41;52
97;2486;2800;1369;680;32;19;67
98;804;-1;761;740;2287;19;377
99;1155;4888;1127;749;180;17;47
