Ind;attribute;category;complete;paired-associate;press-key;recall;what-comes-before
0;1209;-1;559;369;21;19;56
1;56;-1;365;419;217;33;100
2;420;609;600;115;71;16;112
3;-1;1124;413;334;1365;9;74
4;608;-1;792;130;86;22;203
5;36;-1;-1;1322;17;-1;102
6;311;1330;658;176;160;25;60
7;-1;-1;867;98;127;26;162
8;436;548;1178;104;163;358;70
9;-1;-1;849;716;-1;-1;327
10;-1;-1;317;650;122;-1;110
11;520;-1;1147;288;1027;10;108
12;-1;-1;756;354;230;16;111
13;44;530;679;513;-1;62;91
14;934;-1;-1;312;245;10;114
15;541;-1;1085;489;635;17;90
16;-1;-1;952;-1;53;-1;75
17;101;-1;505;612;-1;-1;117
18;412;475;801;619;-1;190;907
19;71;1354;334;124;1263;-1;80
20;406;-1;803;909;1276;17;1377
21;215;-1;1058;600;50;20;144
22;442;-1;729;409;398;17;1337
23;-1;-1;1309;195;-1;35;326
24;66;-1;433;688;73;19;102
25;559;-1;401;91;1045;23;144
26;317;-1;1056;405;68;-1;91
27;58;-1;614;67;70;36;135
28;196;416;-1;355;26;9;118
29;34;1143;720;171;293;-1;217
30;87;-1;1031;792;49;12;172
31;560;1232;1298;296;300;21;97
32;39;409;375;303;60;170;111
33;21;-1;674;303;1209;22;155
34;358;-1;667;514;-1;35;82
35;36;-1;372;219;216;501;79
36;244;-1;1124;170;899;23;787
37;-1;-1;666;586;573;11;165
38;608;-1;1233;-1;-1;31;78
39;227;-1;1126;-1;75;28;72
40;479;820;590;291;32;466;450
41;51;1193;542;189;918;16;72
42;-1;-1;567;720;46;54;67
43;259;-1;498;990;163;19;264
44;430;-1;576;393;-1;34;57
45;-1;-1;817;82;88;30;164
46;232;-1;1271;345;90;58;109
47;138;1175;165;443;23;33;66
48;1207;-1;813;514;165;144;79
49;621;-1;267;49;-1;28;84
50;30;-1;899;410;35;19;110
51;296;1174;687;209;51;37;140
52;51;486;700;415;615;33;88
53;38;659;-1;995;104;29;605
54;-1;-1;488;536;118;31;169
55;36;-1;278;223;976;26;1218
56;46;-1;262;109;-1;20;126
57;854;348;761;396;-1;28;694
58;346;-1;1167;152;80;52;146
59;-1;-1;882;315;-1;-1;136
60;31;-1;920;170;47;-1;91
61;1279;-1;1191;91;65;33;98
62;-1;-1;722;154;57;59;79
63;53;-1;542;154;23;23;574
64;219;-1;202;82;-1;140;117
65;-1;-1;374;-1;192;29;173
66;252;-1;772;905;57;13;125
67;-1;-1;754;351;42;36;113
68;90;-1;446;101;35;24;94
69;41;-1;918;535;486;23;100
70;38;-1;-1;742;-1;38;60
71;534;-1;442;504;146;750;114
72;-1;-1;1054;526;162;-1;96
73;-1;-1;382;344;132;42;101
74;-1;-1;931;585;71;-1;118
75;-1;953;786;1241;-1;35;86
76;1240;-1;780;361;618;14;109
77;-1;-1;476;269;771;29;387
78;233;1279;744;315;43;15;35
79;676;-1;274;79;189;17;81
80;-1;691;256;366;312;13;237
81;680;-1;1085;217;1300;22;98
82;-1;611;564;90;68;72;117
83;370;-1;601;120;34;16;141
84;712;-1;620;844;1296;16;1388
85;1122;-1;929;277;10;639;95
86;610;-1;1030;227;56;-1;123
87;29;-1;665;241;96;11;106
88;54;-1;797;440;66;39;288
89;29;-1;629;260;51;-1;118
90;297;627;361;393;73;23;75
91;554;-1;197;1040;294;17;80
92;671;-1;827;957;42;23;115
93;-1;1324;724;149;-1;26;1122
94;-1;-1;398;94;1052;16;66
95;555;-1;881;132;22;29;90
96;294;866;531;104;53;10;126
97;1234;1272;356;512;1311;14;66
98;78;-1;489;476;-1;12;94
99;34;-1;275;487;410;283;70
