Ind;Task;Trial;Time;goalBLActivation;reachGoal;Accuracy;retrievedOperators
0;recall;0;2.528783581228982;3.734458538161093;False;;0.00_V1toRT1-1.83_RT1toAC1
1;attribute;0;3.8227213753463487;1.1971269078574915;False;;7.57_V1toRT1-7.99_C1toRT1-8.40_RT2toRT1-10.26_WM1toRT3-10.65_RT1toAC1
2;category;0;4.125128947448975;1.3075444769848596;False;;16.38_WM1toRT3-16.76_V1toRT1-18.62_WM1toRT2-19.01_WM1toRT3-19.38_C1toRT1-19.78_RT1toAC1
3;complete;0;2.232150474505086;1.1307196041316137;False;;25.50_C1toRT1-25.92_RT3toRT2-26.33_RT3toWM1-27.01_WM1toAC1
4;paired-associate;0;4.7943730795520025;1.1133856973498863;False;;32.75_V1toRT2-33.17_RT3toWM1-33.86_WM1toRT1-34.61_WM1toRT2-36.80_WM1toAC1
5;what-comes-before;0;1.6166578525629165;1.1049962078563398;False;;42.55_WM1toRT1-42.95_V1toRT1-43.42_RT1toAC1
6;press-key;0;3.6334699244625734;1.0964480174367193;False;;49.17_V1toWM1-49.87_WM1toRT2-52.05_RT1toAC1
7;recall;1;2.933354905869109;1.4892466886076898;False;;57.78_WM1toRT2-58.15_V1toRT1-59.99_RT1toAC1
8;attribute;1;4.628515402971161;1.0840759756038791;False;;65.71_WM1toRT3-66.10_V1toRT3-66.52_C1toRT1-66.91_C1toRT1-67.32_C1toRT1-67.72_RT2toRT1-69.62_RT1toAC1
9;recall;2;2.5710326304483715;1.4008155220522591;False;;75.36_V1toRT1-77.19_RT1toAC1
10;recall;3;2.595429236558388;1.37134036257196;False;;82.92_V1toRT3-84.78_RT1toAC1
11;paired-associate;1;1.848200132624044;1.0737617731428275;False;;90.53_C1toRT1-90.96_RT2toWM1-91.63_WM1toAC1
12;paired-associate;2;4.1436098485161486;1.0704787558827191;False;;97.33_WM1toRT2-97.69_WM1toRT1-98.08_C1toRT1-98.54_RT2toRT1-100.36_WM1toRT2-100.77_RT1toAC1
13;recall;4;2.5302583590074192;1.3027251963914357;False;;106.47_V1toRT3-108.30_RT1toAC1
14;category;1;1.6249372032113882;1.0712267462369878;False;;114.05_WM1toRT2-114.43_C1altToRT1-114.86_RT1equalC1alt-114.93_RT1toAC1
15;recall;5;2.96834517613722;1.271711134470082;False;;120.63_V1toRT3-122.51_WM1toRT2-122.90_RT1toAC1
16;attribute;2;1.622780251121327;1.0624708947632415;False;;128.63_V1toRT3-129.07_RT2toRT1-129.52_RT1toAC1
17;category;2;1.9202568571326992;1.0647871026982607;False;;135.26_WM1toRT1-135.65_WM1toRT2-136.03_C1toRT1-136.44_RT3toAC1
18;attribute;3;4.650574937215254;1.0589453796125896;False;;142.17_V1toRT1-142.61_WM1toRT2-142.99_WM1toRT3-143.40_C1toRT1-143.81_RT3toRT2-145.69_WM1toRT2-146.09_RT1toAC1
19;complete;1;3.3525264304891778;1.0573824744173763;False;;151.85_WM1toRT3-152.24_V2toWM1-152.93_WM1toRT3-153.68_C1toRT1-154.07_RT3toWM1-154.44_RT1toAC1
20;complete;2;2.2119635267966657;1.0561293961079479;False;;160.19_V1toRT3-160.61_RT3toRT2-161.00_RT3toWM1-161.66_WM1toAC1
21;press-key;1;2.1482103362101554;1.0549657409481463;False;;167.38_V1toWM1-168.08_WM1toRT3-168.80_RT1toAC1
22;recall;6;2.9765437695735386;1.1974041233202195;False;;174.52_V1toRT3-176.39_WM1toRT3-176.78_RT1toAC1
23;complete;3;2.538099280421392;1.0526722772610513;False;;182.49_C1toRT1-182.89_RT3toWM1-183.54_WM1toRT3-184.32_RT3toAC1
24;press-key;2;7.605500649118652;1.0510079712404936;False;;190.02_WM1toRT3-190.39_WM1toRT2-190.76_V1toWM1-191.46_next-goal-192.11_WM1toRT2-194.24_WM1toRT3-195.01_next-goal-195.38_RT3toWM1-195.80_RT2toRT1
25;category;3;1.1926591687255836;1.052336385848452;False;;202.65_V1toRT2-203.06_RT1equalC1-203.12_RT3toAC1
26;what-comes-before;1;1.5330495618219118;1.049479455596921;False;;208.86_WM1toRT2-209.25_V1toRT2-209.65_RT1toAC1
27;press-key;3;4.59147186565241;1.0547591309568285;True;;215.36_V1toWM1-216.02_WM1toRT2-218.16_next-goal-218.82_next-goal-219.24_WM1toAC1
28;attribute;4;2.9813207548824034;1.047579739106928;False;;225.00_WM1toRT3-225.41_WM1toRT1-225.79_V1toWM1-226.50_WM1toRT3-227.22_RT3toAC1
29;attribute;5;4.344659931128092;1.046655302513213;False;;232.98_WM1toRT1-233.36_V1toRT3-233.82_RT2toRT1-235.71_WM1toRT2-236.12_WM1toRT3-236.57_RT1toAC1
30;what-comes-before;2;2.2009039784044546;1.045978851053948;False;;242.30_V1toWM1-243.02_WM1toRT2-243.77_RT2toAC1
31;category;4;1.910263869665556;1.0468719760371683;False;;249.52_WM1toRT1-249.89_C1altToRT1-250.31_C1toRT1-250.68_RT3toAC1
32;complete;4;2.5566443526438998;1.0447048874980922;False;;256.41_WM1toRT3-256.77_V2toWM1-257.50_WM1toRT1-258.23_RT1toAC1
33;attribute;6;4.895389707273807;1.0438925119768578;False;;263.96_WM1toRT2-264.36_V1toRT2-266.20_WM1toRT3-266.62_WM1toRT2-267.03_C1toRT1-267.45_RT2toWM1-268.13_WM1toAC1
34;what-comes-before;3;2.7675826096757987;1.0432851655704511;False;;273.83_V1toRT1-274.31_RT2toRT1-274.77_C1toRT1-275.22_RT3toWM1-275.95_WM1toRT2
35;category;5;1.6146177662807872;1.0440506288527314;False;;281.64_WM1toRT2-282.07_C1altToRT1-282.51_RT1toAC1
36;paired-associate;3;1.4659931599886704;1.0423173815049849;False;;288.21_WM1toRT1-288.58_C1toRT1-288.98_RT1toAC1
37;paired-associate;4;3.3490685888477856;1.0417328040161602;False;;294.69_V1toRT2-295.09_RT2toRT1-296.93_WM1toRT2-297.33_RT1toAC1
38;category;6;1.508977886719606;1.0424245814342121;False;;303.08_V1toRT2-303.46_C1toRT1-303.84_RT1toAC1
39;attribute;7;1.8820361945324748;1.0408441046547534;True;;309.59_V1toRT3-310.05_RT2toWM1-310.72_WM1toAC1
40;paired-associate;5;2.169413360573344;1.0403911973744009;False;;316.42_V1toRT2-316.83_RT2toWM1-317.48_C1toRT1-317.89_WM1toAC1
41;category;7;5.7879248898638025;1.0407413280470654;False;;323.62_WM1toRT3-324.00_WM1toRT2-324.38_C1toRT1-324.76_RT1equalC1-324.84_RT1equalC1-324.93_RT3toWM1-325.62_C1toRT1-326.01_RT2toWM1+WM1toAC1-326.41_RT2toRT1-328.30_C1toRT1-328.68_RT3toAC1
42;complete;5;1.4475825578992954;1.039361594212972;False;;334.38_WM1toRT1-334.73_V1toRT3-335.12_RT3toAC1
43;complete;6;1.1874302137065909;1.039010854834602;False;;340.83_V1toRT3-341.31_RT2toAC1
44;recall;7;10.351144715096666;1.1036041239215724;False;;347.01_V1toRT1-348.90_WM1toRT3-349.34_WM1toRT2
45;press-key;4;5.654874275495387;1.04037200786185;False;;362.37_next-goal-363.02_WM1toRT2+next-goal-363.43_WM1toRT1-363.85_next-goal+WM1toAC1-364.20_WM1toRT3-364.55_WM1toRT2-365.04_next-goal
46;category;8;3.042751359842555;1.0380574940479657;False;;373.07_V1toRT3-374.93_WM1toRT3-375.36_RT1toAC1
47;what-comes-before;4;1.9228554012889845;1.0369045234350518;False;;381.10_WM1toRT2-381.45_V1toRT2-381.89_C1toRT1-382.28_RT2toAC1
48;category;9;1.1636571137096894;1.0373960783752003;False;0.0;387.99_C1altToRT1-388.45_RT2toAC1
49;recall;8;2.162853107185981;1.3734751471764577;True;;394.18_WM1toRT1-394.58_V1toRT2-395.01_RT2toWM1+WM1toAC1
50;recall;9;2.582744670472209;1.092310538048504;False;0.1;401.33_V1toRT3-403.19_RT1toAC1
51;category;10;6.066611906531591;1.0361871602908297;False;0.0;408.95_WM1toRT1-409.31_V1toRT1-411.20_WM1toRT2-411.60_WM1toRT3-411.98_C1altToRT1-412.42_RT2toRT1-412.89_WM1toRT2-413.30_WM1toRT3-413.70_C1altToRT1-414.11_WM1toRT2-414.49_WM1toRT3-414.91_RT1equalC1alt
52;paired-associate;6;4.61771055043522;1.035082622600188;False;;420.02_WM1toRT2-420.37_WM1toRT1-420.85_WM1toRT3-421.23_C1toRT1-421.63_RT2toRT1-423.47_C1toRT1-423.88_RT1toAC1
53;complete;7;1.7753564197548144;1.034810796212182;False;;429.58_V2toWM1-430.24_C1toRT1-430.65_RT2toAC1
54;press-key;5;5.7037818401817635;1.0364426629167487;True;;436.37_V1toWM1-437.02_WM1toRT2+next-goal-440.05_WM1toRT2+next-goal-441.00_next-goal+WM1toAC1-441.35_WM1toAC1
55;recall;10;1.7474750544366202;1.2477852288422666;True;0.2;447.06_V1toRT2-447.50_RT2toWM1+WM1toAC1
56;paired-associate;7;1.744609898600288;1.0338895158346275;True;;453.81_V1toRT2-454.20_RT3toWM1-454.85_WM1toAC1
57;paired-associate;8;2.5996054841056093;1.033614995202927;True;;460.55_WM1toRT1-460.91_V1toRT2-461.34_RT3toWM1-462.03_C1toRT1-462.45_WM1toAC1
58;recall;11;2.2528308958081307;1.0798832888263574;True;0.3;468.17_V1toRT1-468.66_WM1toRT3-469.06_WM1toRT2-469.70_RT1toAC1
59;recall;12;3.898666861834045;1.0784711369234905;False;0.3;475.45_WM1toRT1-475.84_WM1toRT2-476.19_V1toRT2-476.64_RT3toRT2-478.52_WM1toRT3-478.90_RT1toAC1
60;category;11;1.1163401425739041;1.033405863111508;False;0.0;484.34_V1toRT2-484.71_RT2toAC1
61;what-comes-before;5;2.7239382836208956;1.032593599996223;False;;490.41_V1toRT1-490.87_RT2toRT1-491.30_WM1toRT2-491.71_C1toRT1+WM1toAC1-492.14_WM1toRT3-492.49_RT1toAC1
62;attribute;8;4.799701126338106;1.0322796226166793;False;;498.17_C1toRT1+WM1toAC1-498.62_WM1toRT3-499.03_WM1toRT2-499.48_WM1toRT1-500.16_C1toRT1-500.57_RT3toWM1+C1toRT1-501.86_RT2toWM1+WM1toAC1-502.24_WM1toAC1
63;press-key;6;7.727536922700608;1.0334943585340537;False;;507.94_WM1toRT2+next-goal+WM1toAC1-508.29_WM1toRT2+next-goal-508.65_WM1toRT2-509.00_next-goal+WM1toAC1-509.66_WM1toRT3-510.02_next-goal-510.67_WM1toRT2+next-goal+WM1toAC1-511.02_WM1toRT3-511.37_next-goal-511.84_WM1toRT1-512.52_WM1toRT2+next-goal-512.87_next-goal+WM1toAC1-514.26_WM1toRT2
64;complete;8;3.381139642706444;1.0316331674385697;False;;520.67_WM1toRT3-521.04_V1toRT1-521.54_C1toRT1+WM1toAC1-521.92_WM1toRT3-522.30_RT2toWM1-522.95_C1toRT1-523.35_RT3toAC1
65;press-key;7;4.2975335469237725;1.0313605551190659;False;;529.05_next-goal+WM1toAC1-529.70_WM1toRT2+next-goal+WM1toAC1-530.06_WM1toRT2-530.12_WM1toRT2+next-goal-530.50_V1toRT1-531.86_WM1toRT2+next-goal+WM1toAC1-532.23_WM1toRT2+next-goal-532.59_WM1toRT3-532.94_RT1toAC1
66;what-comes-before;6;1.3218555966925578;1.0311791883432764;False;;538.39_V1toRT3-538.80_C1toRT1-539.21_RT1equalC1-539.27_RT1toAC1
